#,Título,Copete,Sección,Enlace
1,Fede Bal contó que se abrió un perfil en una app de citas: “Soy un gordito con tatuajes”,El actor que protagonizó Kinky Boots se sinceró sobre la nueva etapa de su vida que está viviendo después de su escandalosa separación de Sofía Aldrey,teleshow,https://www.infobae.com/ultimas-noticias//teleshow/2023/05/11/fede-bal-conto-que-se-abrio-un-perfil-en-una-app-de-citas-soy-un-gordito-con-tatuajes/
2,Flor Vigna compartió un video en el que se la ve llorando y preocupó a sus fans: “Ojalá todo valga la pena”,"La cantante mostró unas imágenes de hace algunos meses atrás, en un momento en el que pensó en abandonar sus sueños artísticos",teleshow,https://www.infobae.com/ultimas-noticias//teleshow/2023/05/11/flor-vigna-compartio-un-video-en-el-que-se-la-ve-llorando-y-preocupo-a-sus-fans-ojala-todo-valga-la-pena/
3,Héctor Baldassi confesó que un dirigente le ofreció dinero antes de un partido,El ex árbitro contestó sin vueltas la pregunta de un periodista y remarcó que durante su carrera siempre aplicó los valores que le enseñó su padre,deportes,https://www.infobae.com/ultimas-noticias//deportes/2023/05/11/hector-baldassi-confeso-que-un-dirigente-le-ofrecio-dinero-antes-de-un-partido/
4,"Juicio por la Masacre de Monte y un testigo clave: “Me decían que había escuchado ‘contraexplosiones’ de motos, no disparos”","Héctor Mensi, el chofer del camión contra el que chocó el Fiat 147 tras la persecución, dio detalles del accionar de los cuatro policías aquella madrugada",sociedad,https://www.infobae.com/ultimas-noticias//sociedad/policiales/2023/05/11/juicio-por-la-masacre-de-monte-y-un-testigo-clave-me-decian-que-habia-escuchado-contraexplosiones-de-motos-no-disparos/
5,Estados Unidos alertó por importantes deficiencias en auditorías de empresas chinas que cotizan en la Bolsa,Estas firmas representan el 40% de la cuota de mercado de las compañías en Wall Street y las fallas fueron tan graves que se desconocen sus estados financieros reales,estados-unidos,https://www.infobae.com/ultimas-noticias//estados-unidos/2023/05/11/estados-unidos-alerto-por-importantes-deficiencias-en-auditorias-de-empresas-chinas-que-cotizan-en-la-bolsa/
1,Jubilaciones: Anunciaron aumento y un refuerzo por tres meses,"El ministro de Economía, Sergio Massa, y la titular de Anses, Fernanda Raverta, anunciaron que el aumento será del 20,92%. Informaron un refuerzo para quienes cobren dos mínimas y un bono por tres meses para quienes cobren la mínima.",economicas,https://www.elonce.com/secciones/economicas/755524-jubilaciones-anunciaron-aumento-y-un-refuerzo-por-tres-meses.htm
2,Quini 6: 5 apostadores ganaron más de $8.400.000 y hay grandes pozos vacantes,No se registraron ganadores con todos los aciertos en ninguna de las modalidades más importantes del Quini 6. El próximo domingo se sortearán 850.000.000 millones de pesos. Los números que salieron y todos los detalles.,sociedad,https://www.elonce.com/secciones/sociedad/755536-quini-6-5-apostadores-ganaron-ms-de-8400000-y-hay-grandes-pozos-vacantes.htm
3,Patronato-Temperley: cómo será la venta de entradas,"El club rojinegro comunicó este miércoles los detalles de la venta de tickets, para el encuentro ante Temperley por la fecha 16 de la Primera Nacional. Menores de hasta 11 años ingresarán gratis.",superdeportivo.elonce.com,https://www.elonce.comhttps://superdeportivo.elonce.com/notas/patronato-temperley-cnmo-serna-la-venta-de-entradas.htm
4,¿Cómo es el feriado extra largo del 25 de mayo?: quiénes pueden disfrutarlo,"El feriado del 25 de mayo recuerda al surgimiento del primer Gobierno Patrio. Decretaron jornada no laborable el viernes 26, por lo que se arma un fin de semana largo de cuatro días. Quiénes pueden disfrutarlo.",sociedad,https://www.elonce.com/secciones/sociedad/755515-cmo-es-el-feriado-extra-largo-del-25-de-mayo-quines-pueden-disfrutarlo.htm
5,"Siniestros viales en Paraná: ""Un factor muy determinante es la imprudencia""","Ricardo Galliussi, jefe de División de Accidentología Vial de la Dirección Criminalística de Entre Ríos, dijo a Elonce que es fundamental “respetar las normas de tránsito y entender las técnicas de manejo defensivo”.",policiales,https://www.elonce.com/secciones/policiales/755533-siniestros-viales-en-paran-un-factor-muy-determinante-es-la-imprudencia.htm
